id	1	2	3
1	なし	なし	なし
2	ラブユーフォーエバー	かいけつぞろり	ディズニー
3	なし	なし	なし
4	はらぺこあおむし	お月様とって	なし
5	どろんここぶた	あたまのうえにりんごがいくつ	なし
6	ピーマンきらい	なし	なし
7	バムとケロシリーズ	ミッケ	えほん百科
8	なし	なし	なし
9	いただきますあそび	11ぴきのねこシリーズ	ねこのはなびや
10	ほげちゃん	だるま	シンデレラ
11	塔の上のラプンツェル	なし	なし
12	だるまさんシリーズ	だるまさんシリーズ	だるまさんシリーズ
13	ばけたくん	ありがとまと	もやし
14	お野菜じゃぶじゃぶ	なし	なし
15	なし	なし	なし
16	おしちゃだめ	こんがらがっち	誰のパンツ
17	からすのぱんやさん	ぐりとぐらシリーズ	ともだちや
18	なし	なし	なし
19	はみがきれっしゃしゅっぱつしんこう！	なし	なし
20	なし	なし	なし
21	せんろはつづく	ばすくんのおむかえ	おとどけものです
22	バムとケロシリーズ	大ピンチずかん	ぱんどろぼうシリーズ
23	999ひき	おこりたくなったらやってみて	いつもいっしょに
24	おべんとうバス	あーんあーん	ノンタンシリーズ
25	アントンせんせい	いろいろたまご	こぐまちゃんシリーズ
26	ノンタンシリーズ	なし	なし
27	いないいないばあ	だるまさんシリーズ	しましまぐるぐる
28	クリスマスはドキドキ	なし	なし
29	ドアを開けたら	そらまめくんのベッド	新幹線でゴー
30	みにくいあひるの子	ぞうくんのさんぽ	ぐるんぱのようちえん
31	くだもの	しょうぼうしゃ　しゅつどう	なし
32	あいうえおの絵本	なし	なし
33	くませんせいはおいしゃさん	おつきさまこんばんは	だるまさんシリーズ
34	どうぞのいす	ぱんどろぼうシリーズ	おおきなかぶ
35	ノンタンシリーズ	ポケットはん	こぐまちゃんシリーズ
36	なし	なし	なし
37	大ピンチずかん	どすこい！　ねこずもう	ぱんどろぼうシリーズ
38	おなかのこびと	おしちゃだめ	ニールアームストロングの伝記
39	ざっくりぶうぶうがたがたごろろ	こぐまちゃんシリーズ	のりものいろいろかくれんぼ
40	パンダ銭湯	なし	なし
41	まるまるまるのほん	まいごのたまご	もうぬげない
42	ちいさいおうち	にじいろのさかな	なし
43	まほうのえのぐ	おかしのずかん	わらしべちょうじゃ
44	おしりたんてい	シンカリオン	プラレール絵本
45	ぱんどろぼうシリーズ	いないいないばぁ　のりもの	たのしいあそびえほん　ゆかいなどうぶつえん
46	なし	なし	なし
47	ぱんどろぼうシリーズ	ぱんどろぼうシリーズ	やさいさん
48	ほげちゃん	なし	なし
49	ようかいたちの花見	なし	なし
50	ムーミン	アンパンマンシリーズ	なし
51	なし	なし	なし
52	からすのぱんやさん	とうちゃんのちゃんぽんめん	ノンタンシリーズ
53	しじみ	いきもののおはなし	かがくのおはなし
54	おかしになりたいピーマン	すいかのプール	もりのおふろ
55	ちきゅう	ベッドのしたになにがいる	ダンプのがらっぱち
56	アンパンマンシリーズ	ない	ない
57	ぱんどろぼうシリーズ	シンデレラ	ぐりとぐらシリーズ
58	ベビーインワンダーランド	にこにこ	やさいさん
59	のらねこぐんだんシリーズ	しろくまのぱんつ	ぱんどろぼうシリーズ
60	どっとこむしずかん	どうぶつえんのいちにち	ずっとともだち
61	てくてくとことこ	ぱんどろぼうシリーズ	なし
62	のらねこぐんだんシリーズ	たまごのあかちゃん	なし
63	うらしまたろう	ももたろう	なし
64	ぐりとぐらシリーズ	赤ずきん	はらぺこあおむし
65	なし	なし	なし
66	はらぺこあおむし	ぱんどろぼうシリーズ	はんきゅうでんしゃ
67	バナナです	いちごです	あっちむいてほい
68	はじめてのおつかい	いないいないばあ	なし
69	なし	なし	なし
70	いないいないばあ	どうぞのいす	ノンタンシリーズ
71	バムとケロシリーズ	なし	なし
72	なし	なし	なし
73	アンパンマンシリーズ	ねないこだれだ	はらぺこあおむし
74	なし	なし	なし
75	ぽこぽこミックスジュース	まほうのおしろ	なし
76	ぐりとぐらシリーズ	どんぐりむらシリーズ	なし
77	ミッケ	どろんこハリー	ジャックと豆の木
78	100階建てシリーズ	なし	なし
79	あっちゃんあがつく	電車のあいうえお	とうちゃんのちゃんぽんめん
80	アンパンマンシリーズ	だるまさんシリーズ	ドアをあけたら
81	かいけつゾロリ	まほうのじどうはんばいき	からすのぱんやさん
82	あきらがあけてあげるから	なつみはなんにでもなれる	パンダツアー
83	ペネロペ	うんちっち	はたらくくるま
84	のりものずかん	なし	なし
85	だるまさんシリーズ	お弁当箱のうた	なし
86	はらぺこあおむし	バムとケロシリーズ	きゃべつくん
87	なし	なし	なし
