id	1	2	3
1	なし	なし	なし
2	寝る前に毎日聞きたい	ユーモア	たくさんのセット
3	なし	なし	なし
4	歌	しかけ絵本	なし
5	ユーモアがある	ユーモアがある	なし
6	ゆずるくんとのやりとり	なし	なし
7	ストーリー展開	見つける楽しみ	色々なトピックがある
8	なし	なし	なし
9	めくるたびにいろいろな動物のいただきますがみられる	おおきなとりが出てきておどろく場面が好きなよう	花火の絵がカラフルでかわいい
10	おもしろさ	なし	なし
11	キャラクター	なし	なし
12	おもしろいストーリー	かわいい絵	ストーリーの展開
13	ばけたくんのへんしん	野菜がかわいい	野菜がかわいい
14	じゃぶじゃぶが繰り返し使われており、おもしろい様子	なし	なし
15	なし	なし	なし
16	おしたらダメなのに押したい気持ち	おばけが好き	なし
17	パンがたくさん出てくるところ	カステラをみんなで食べるところ	キツネとオオカミが仲良く遊ぶところ
18	なし	なし	なし
19	歯ブラシが電車に見立てられているところ（電車が好きなので）	登場人物の名前（お友達に同じ名前の子がいるので）	なし
20	なし	なし	なし
21	線路が好き	バスが好き	動物が出てくる
22	けろちゃんがおならするところ	ちょっと汚いところ	まずい顔のドアップ
23	幼稚園で借りてきて目新しいストーリーだから	ストーリーの内容がおもしろいから	ストーリーが好きだから
24	かわいいお弁当がおいしそうだから	たべるのが好きだから	親しみやすいキャラクター
25	お医者さんのストーリー	リズム	作る工程
26	なし	なし	なし
27	わからない	わからない	わからない
28	サンタからプレゼントがもらえる	なし	なし
29	ドアをめくる動作	絵が好きそう	何の新幹線が好きか聞いてくる
30	絵がきれいだから	自分で読めるから	絵がかわいいから
31	美味しそう	くるま	なし
32	ひらがなが覚えれる	なし	なし
33	登場人物達のやりとりがおもしろい	言葉の繰り返し	ドテッやプッなどの擬音語がたのしい
34	なし	なし	なし
35	ノンタンのはなす口調がおもしろい	絵が可愛くはなす口調がおもしろい	絵がかわいい
36	なし	なし	なし
37	自分の生活にも起こりそうだから。	言い回しがおもしろい	保育園に置いてあるから
38	最後のうんちのところが気に入っている	ボタンを押すところ	分からない
39	車がたくさんでてくる	絵がかわいい	車がたくさんでてくる
40	たのしいから	なし	なし
41	参加型の本	ストーリーの他にも虫探しができたりする	ストーリーの展開と絵がおもしろい
42	いろんなえがあること	きらきらの絵本だから	なし
43	絵のタッチ、ストーリー、エンディング	美味しそうなお菓子、みているだけで楽しくなる	ストーリー
44	ストーリー	ストーリー	ストーリー
45	ストーリーが好きだし絵もおもしろい為	立体するしかけがあり、乗り物が好きだから。	動物の鳴き声が聞けるしくみ
46	なし	なし	なし
47	キャラクター	キャラクター	ストーリーのテンポ
48	おもしろい	なし	なし
49	おばけの姿	なし	なし
50	分からない	分からない	なし
51	なし	なし	なし
52	ストーリーがおもしろい	実際に料理を作ったりする	子供も読みやすい
53	ストーリーとイラスト	いろんな虫がでてくる	いろんな種類のストーリーが読める
54	セリフやストーリー	絵	セリフやストーリー
55	地球の断面図	少しこわいところ	車が好き
56	キャラクター	なし	なし
57	おもしろい　絵がかわいい	プリンセス好き	パンケーキ好き
58	男の子の声	絵が好き	かわいい
59	おもしろい	おもしろい　かわいい	せりふもおもしろい　ぱんがおいしそう
60	むしの絵があるから	以前きょうだいとも読んでたのしい記憶があるから	絵も登場人物も好きだから
61	手遊び要素があるところ	絵がかわいい	なし
62	キャラクター	わからない	わからない
63	最近買った本なので目新しさが気に入っていると思います。	節分の影響で鬼に興味があるので、鬼の出てくる場面が気に入っていると思います。	なし
64	最後に大きなたまごをどうやってぐりとぐらが運ぶのか考える場面	オオカミがおばあさんの家に来たところからオオカミをやっつけるところ	カラフルなお菓子たちを見て食べたい！！となりテンションが上がる
65	なし	なし	なし
66	唄いながら読める	変顔がおもしろい、パンが好き	阪急電車が好き
67	毎日バナナを食べていてバナナ好きなので、同じバナナが出てくると喜ぶ。	いちごが好きで、ケーキのいちごや、いちご狩りでのいちごを思い出して、絵を見ていて喜んでいる。	「あっち向いてホイ」というリズムが好きなのだと思う。
68	内容	内容	なし
69	なし	なし	なし
70	赤ちゃんの時から文字を読まなくても楽しんでいた	絵がかわいいのと色々な動物がでている	最近は内容もわかるようになってきていた
71	ストーリーがかわいい	なし	なし
72	なし	なし	なし
73	大好きなアンパンマンが出て来る事	仕掛け絵本になっていた楽しめるから	歌も覚えているから
74	なし	なし	なし
75	絵がかわいい、ジュースを一緒に選んだらできる	絵がかわいい。魔法という言葉が魅力的	なし
76	分からない	季節によって変わる絵	なし
77	親といっしょに見つけるところ	ハリーの様子がかわっていくところ	絵柄
78	絵がたくさんある	なし	なし
79	食べ物が題材で身近なものの登場と、かわいい絵とリズミカルな文章	大好きな電車	食べ物が題材で身近なものの登場　絵がおもしろい
80	アンパンマンが好きだから	昔から読んでるお気に入りだから	最近買った新しい本だから
81	最近読んだから	最近読んだから	最近読んだから
82	言葉のリズムがおもしろい。絵柄が好き。	絵柄がおもしろい。内容(物真似クイズ)がおもしろく、娘本人もゲラゲラ笑いながらマネしていました。	細かい書き込みが好き。(さがしもの絵本)
83	日常的なストーリーで絵が可愛らしい	同じ言葉を繰り返しおもしろおかしいストーリーなところ	大きさ関係なく頑張ればやり遂げられる
84	新幹線	なし	なし
85	だるまさんが可愛くて好きらしい	お弁当箱の歌が好きなのでこの本も好きらしい	なし
86	色合い	キャラクター	キャラクター
87	なし	なし	なし
88	校長先生を探すところ	パンが好きなので	色々なトイレが出てくるところ
89	食べ物がたくさん出てくるのでたのしい様子	食べ物、乗り物がたくさん出てきてたのしい様子	2歳のシリーズよりもよりたくさんのモノが出てきて興味がある様子
90	恐竜が沢山出てくるところ	色々な動物が出てくるところ	めくる場所があるところ
91	おばけがたくさんでるところとお化けあてクイズができるとこ	ストーリーがおもしろい	時計をくるくる回せる
92	なし	なし	なし
93	ストーリーの展開がわかりやすいから	新幹線が好きだから	鉄道が好きだから
94	好きなシリーズである3きょうだいが仲良しだけど、時々失敗するところがおもしろい	好きなシリーズであるこちらものらねこぐんだんがユーモラス	同じ言葉が繰り返し使われていて、おもしろいみたい
95	なし	なし	なし
96	なし	なし	なし
97	ことばのリズム	乗り物とぬいぐるみが出てくるところ	今の季節に合っているところ（保育園でプールに入っているのでイメージしやすい）
98	プリンセス	なし	なし
99	ストーリー展開がおもしろい、絵がかわいい	ストーリー展開がおもしろい、絵がかわいい	テンポがいい、分かりやすい、絵がかわいい
100	猫が好き	なし	なし
101	登場人物がかわいいから	なし	なし
102	キャラクターやストーリー全て	電車が好きなので。	最近映画を見たので。
103	電車がたくさんでてくる	ペンキ塗りがたのしい	なし
104	クルマ	くるま	野球
105	ステキな帽子	なし	なし
106	シンプルでわかりやすく、自分で読もうとすることができる	優しさを学べる	なし
107	クマが好きで、いもとようこさんの絵がかわいいため。	“かちかち”や“ぼうぼう”という言葉遊びが気に入っている。	小さな女の子(おやゆび姫)がかわいい。
108	なし	なし	なし
109	絵が細かく書き込まれていてかわいい。絵にもストーリー性がある	絵が細かく書き込まれていてかわいい。絵にもストーリー性がある。かわいい絵	ストーリーが好きらしい
110	兄弟ものの内容と、語感	ストーリーの面白さ	絵
111	恐竜が出てくる	色んなお父さんがいるって勉強になる	なし
112	キャラクター	言葉のひびき	なし
113	年齢にあっていて、理解しやすいところ	なし	なし
114	なし	なし	なし
115	絵や登場キャラクターがかわいいから	子どもが想像していなかった終わり方だから	自分も発表会をしたことがあるから
116	いろんなくだものがでてくる、自分の知ってる単語があること	消防車がでてくるところ	なし
117	乗り物が沢山乗ってるから	絵が好き	触れるから
118	なし	なし	なし
119	どっちに進むか選ぶことによって、ストーリーの展開がかわる	おもしろい	いっぱいのネズミで、列を作る所
120	好きな虫だから	好きなキャラクターだから	少し怖いのが好きだから
121	なし	なし	なし
122	アイスクリームがたくさん出て来るところ	クイズ形式なたころ	展開がわかりやすいところ
123	食べるところ	なし	なし
124	なし	なし	なし
125	ストーリーの流れ	ストーリーの内容	絵とストーリーの内容
126	お決まりの展開	いろんな動物が出てくるところ	車によってページのめくり方が異なるところ
127	フレーズ	なし	なし
128	リズム感が良い	絵がカラフルできれい	リズム感がたのしい
129	たこさんの結婚式がかわいいから。たこさんの指輪を返す場面も好き。	にせパンどろぼうが噛み付くところがおもしろいから。	お散歩遠足の場面が好き。
130	ゴリラが大きく成長するところ	鮮やかな絵	歯がどうやって虫歯になるか分かりやすい
131	絵がたのしい	電車が好き	えがたのしい
132	表情	恐竜とやさしさ	かわいらしさ
133	なし	なし	なし
134	最近買った本だから	わかりやすいから	なし
135	すみっこ	なし	なし
136	かわいらしい絵	ストーリー	今1番のお気に入りのキャラクター
137	自分で動かして遊べる本	なし	なし
138	なし	なし	なし
139	実際に体験観たものと一緒だから	全て	新幹線だから
140	恐竜が昔どのような場所で生きて、どのように過ごしていたか。どのくらいの大きさなのかを聞くのか好き。	サンタさんはプレゼントを届けるだけではない。クリスマス当日以外のサンタさんが何をしているのか想像しながら読むのが楽しそう。	優しいタッチの絵が好きなようで、飛行機雲がや車が出ている場面では、本物の空や道路を眺めて同じようなものがないか探している。
141	ひよこたちがかわいいところ	愚かな男が泣くところ	よるくまがお母さんを探すところ
142	色々な種類のパンを見るのが楽しそう。パンが作られる過程を興味深そうに見ている。	色が混ざり合って変わるのがおもしろいと感じている様子。	乗り物が好きなので。
143	カニが唄いながら柿の木を育てるところ	いろんな電車が出てくるところ	絵柄の可愛さ　指でたどって楽しめる
144	かわいいものを選んでいくのがたのしいみたいで毎回いろんなコーディネートを考えて楽しんでいる	ノラネコたちがドッカーンとなるところや怒られるところが好き	おもしろくてかわいいところが気に入っている
145	いろいろな動物が出てくる	絵がわかりやすい	野菜たちがでてくる
146	なし	なし	なし
147	なし	なし	なし
148	なし	なし	なし
149	リズムとテンポ	なし	なし
150	なし	なし	なし
151	情景描写や主人公に同情するところ	おもしろいところ	なし
152	なし	なし	なし
153	間違い探し的な要素	お母さんのお手伝いをするところ	なし
154	関西弁のセリフ	絵	繰り返し
155	爆発するシーン。	爆発するシーン。	たくさんのパンが書かれているページ。
156	隠れている虫をさがすところ	食べ物がたくさん出てくる	食べ物がたくさん出てくる
157	はい	なし	なし
158	ストーリー、好きな食べ物	絵	ストーリー
159	大好きな救急車（擬人化されている）が出てきて、その救急車が事故で電柱にぶつかるところが特に気にいっている。	恐竜の卵が最後に家にたどりついて、お母さん、お父さんに会うところが気に入っている。	電車がたくさん出てくる。特に、新幹線工場の骨組みの新幹線や鉄道博物館の絵を見るのが好き。
160	幼稚園でも歌を習ったりしているのと、絵とストーリーが分かりやすい	なし	なし
161	大好きな海の生き物がたくさん出てくるので	大好きな魚について少し変わった角度から紹介されているのと「へいおまち！」のフレーズが気に入っているので	たのしいストーリーと絵、好きなお菓子やパンなどがいろいろ出てくるところがおもしろいので
162	なし	なし	なし
163	ストーリーがおもしろい	なし	なし
